Course_Name,course_info
NAZI GERMANY ,"This course is a survey of Nazi Germany and the Holocaust. 

My hope is that through this class you will become better communicators, 
better critical thinkers, and better readers. Consistent class attendance and 
participation in oral and written discussion of the required texts will allow 
you to improve your oral and written communication skills. An 8-10 page primary 
source research paper will give you the chance to “do history” and begin 
asking historical questions of primary and secondary sources."
"GENERATING, READING AND CRAFTING POETRY WRITTEN FOR THE NOW ","There is no such thing as a wrong question, but there is such a thing as a bad 
poem. Bad poetry is usually poetry written in haste, sloppily, and with very 
little thought. Like the Edison diatribe, 1 percent inspiration, ninety-nine 
percent perspiration, great poetry and poets are measured by the weight of the 
labor they put behind their work.  Like the value of a suit or dress can be 
measured by the quality of materials and craftsmanship of the tailoring, poems 
can be measured by craft and content. There are equally great poems about 
wheelbarrows and poems about war. Great poetry can come from the smallest of 
things. Students in this class will learn how to identify good materials and 
craftsmanship. How to make poems from the smallness of things.
    A poem may travel on any number of vessels and takes many forms, but it is 
extremely rare for a poem to be finished in one sitting.  Poems usually find 
their form through a process of revision that takes the course of several 
months, years, decades or a lifetime. With that in mind, this class will be 
primarily dedicated to the process of revision. Students will be asked to write 
a small group of poems refined over the course of the semester. As poems are 
most often found grouped together in collections, books, or projects, we will 
also study how poems press up against each other and become unified by a common 
style and theme."
HEIDEGGER`S BEING AND TIME: AN INTRODUCTION TO CONTINENTAL PHILOSOPHY ,"In the course, we will study Heidegger`s Being and Time (Sein and Zeit), which 
is widely regarded as one of the great philosophical masterpieces of the 
twentieth-century, and is one of the foundational texts of the so-
called ""continental"" tradition of philosophy. In Being and Time, Heidegger 
challenges what he regards as the underlying presuppositions of the Western 
tradition of philosophy, and suggests a new way of thinking about the way in 
which human beings exist in the world."
PERIPHERY AND CENTRE: THE MAKING OF EARLY MODERN BRITISH AND IRISH HISTORY ,"In many ways the birth of the modern world can be traced back to the British 
islands, whose extraordinary historical impact has been so strikingly out of 
proportion to their size geographically. We shall examine the historical 
evolution of the British Isles in the Early Modern Era (c. 1500 – c. 1800).  
This was the key period in shaping both the British Isles themselves and their 
connections with the world at large. We shall pay special attention to the 
relationships between English, Irish, Scottish and Welsh peoples and 
governments. A central theme will be tracing the emergence and refashioning of 
identities in the diverse territories of the British Isles across this seminal 
historical period in the emergence of the British state and empire.
Students who complete this course successfully should be able to describe the 
major trends in the history of the British Isles, including the interaction 
between England, Wales, Scotland and Ireland, the development of local and 
national institutions of government, the evolution of language and literature, 
and the course of relations between the different territories and populations 
of the British Isles and the broader world.
Students will develop their research, writing, and oral presentation skills 
over the semester.  They will become familiar with the primary sources most 
commonly used by historians of the early modern British Isles, learn to 
distinguish them from secondary sources, and develop their ability to analyze 
both types of sources in constructing persuasive historical arguments."
"PHOTOGRAPHY, WAR, AND HISTORY ","Since the mid-nineteenth century our understanding of war has been mediated 
through photographs. Despite the ubiquity of digital video and film, 
newspapers and blogs today prominently feature still photographs of 
contemporary wars, while wars of the past are often visually defined by the 
photographs reproduced in museums and textbooks. Photographic evidence has 
been used to gain support to go to war, to mobilize populations to continue 
war, to prosecute those who commit atrocities during war, and to memorialize 
the dead after war. In spite of the centrality of photography for modern 
understandings of war, photographic images are notoriously difficult to 
interpret.  This interdisciplinary seminar takes up that challenge. We will 
examine the relationship between war, history and photography by considering 
photographs from multiple angles: as creative works of individuals; as 
material objects that are processed, produced, distributed, and appropriated 
by users; as ambivalent representations of an “authentic” reproduction of 
the past; and as the source material for family histories and national 
narratives. After an introduction to several theoretical approaches, we will 
proceed chronologically through a history of modern warfare from the Crimea to 
Iraq.

As with all of my seminars, my hope is that through this class you will become 
better communicators, better critical thinkers, and better readers. Consistent 
class attendance and participation in oral and written discussion of the 
required texts will allow you to improve your oral and written communication 
skills. An 6-8 page primary source research paper will give you the chance to 
“do history” and begin asking historical questions of primary and secondary 
sources."
IMPERIAL CHINA: VIEWS OF HISTORY ,"This course examines the history of China from the classical period of warring 
states and philosophers to the end of the imperial system. Rather than high 
politics, we will focus on changes within society; some topics we will examine 
include the impact of social changes on “traditional” Chinese medicine, human 
impact on the natural environment, the different experiences of men and women, 
and the ambiguous and shifting nature of government control."
PHILOSOPHY OF PSYCHOANALYSIS: FREUD`S THEORY OF DREAMS ,"This course will explore the philosophical and scientific status of Freud`s 
theory of dreams."
POIESIS OF POETRY ,"The class will outline and survey poetic technique and form in poetry in the 
English language and tradition."
ANCIENT GREEK AND ROMAN NOVELS ,"In this class, we will read the texts that constitute an alternate tradition 
of ancient Greco-Roman novels and Menippean satire—Heliodorus’ Ethiopian 
Tale, Apuleius’ The Golden Ass, Petronius’ Satyrica, Seneca’s 
Apocolocyntosis, and Lucian’s Icaromenippus and Necymantia—so that everyone 
may better understand Western literary production and the history of the 
novel. 

But because ancient novels obsessively focus on and thematize the related acts 
of reading, writing, and interpretation, they turn out to be productive 
fillips for introducing contemporary literary theory. By working our way 
through an archive of chronological secondary readings in the history of 
Western literary theory, students will consider strategies for rethinking old 
texts, and practice more sophisticated approaches to textual analysis by 
engaging with semiotics, deconstruction, Marxism, psychoanalysis, post-
colonialism, queer theory, feminism, and critical race studies. 
(Acknowledgement: The theory portion of this course is indebted to Prof. 
Daniel L. Selden’s “Lit 101,” Spring 2005, UC Santa Cruz)."
INVESTMENT ANALYSIS AND PORTFOLIO MANAGEMENT ,"This course is intended to study and understand 
1) How the financial institutions have been doing for investment analysis, 
2) why would they intend to provide various financial services (product mix), 
3) what happened to the world after 2008 global financial turmoil, and 
4) How to invest your valuable resouces for the future.
 
To understand the basic character and the purpose of the existing investment 
analysis done/published by many financial intermediaries (including investment 
banks, commercial banks, specified securities houses, asset management 
companies, credit card companies, insurance companies, pension funds, private 
equity funds, hedge funds and etc.)  As an undergraduate student, to understand 
a big picture on the development of global investment analysis and learn to be 
ready to produce your own analysis is very important no matter what he/she 
might want to do for life in their future.  Also, all students should be able 
to analyse any social and financial events in conjunction with the changes of 
the relevant industries including mobile, internet, high tech and general 
manufacturing industries."
CHANGES IN ASIAN INTERNATIONAL ORDER AND CHINA`S POLICY ,"The purpose of this seminar is to provide students with the theoretical and 
practical foundations for the analysis of China`s foreign and security policy.
In this course we will come to terms with the dramatic rise of China through 
reviewing major developments in contemporary Chinese foreign policy. The 
course will focus on recent developments in China’s evolving relationship 
with the rest of the international system, and attempt to identify and explain 
China’s emerging role within the contemporary international politics. It will 
also consider the nature of China’s rise on the world stage."
국제인권개념의역사와논점 ,"This course is intended to be an introduction to the idea of human rights.  
The objective will be to develop a critical understanding of the major 
issues surrounding human rights, as well as the intellectual roots 
of the modern-day concept of human right.  The focus will be more on 
the philosophical and historical aspects of human rights, rather than on the 
institutional features of international human rights law.  The justification 
for this approach is the conviction that a firm grasp of the historical and 
theoretical issues will provide a better foundation for understanding the 
contemporary legal issues and debates.  
	The course will be divided into two equal parts, which roughly 
correspond to the two components of the idea of “human rights.”  The first 
part—-dealing with the ""human"" part—-will examine the historical development 
of the concept of human rights.  The underlying theme will be: Who counts as a 
human being?  We will study some of the ancient, medieval, and early modern
intellectual traditions that contributed to the modern conception of human 
rights.  In the second part—-dealing with the ""rights"" part-—we will cover 
some of the current theoretical controversies surrounding human rights, which 
will be useful for understanding the modern practice of human rights. Here, 
the underlying theme will be: What does it mean to have a right?"
NGOS AND DEVELOPMENT ,"I.	Course Objectives and Scope
The global community is witnessing the growing impact of non-governmental 
organizations (NGOs) and international non-governmental organizations (INOs) 
in local, national, regional, and international spheres. This course will 
discuss issues related to the disciplines of economics, political science, 
sociology, development studies, international relations, and others. It will 
also explore a variety of theories on NGOs, the nature and extent of civic 
participation and NGO participation, and the role of NGOs and NPOs in the 
policy-making process. The course is appropriate for students interested in 
NGOs from a research or policy perspective as well as those students who may 
work with or in these NGOs or INGOs in future career. 

In order to achieve the aforementioned objective, you need to think 
critically, rigorously, and theoretically; locate and synthesize needed 
information from a wide range of books, professional journals, and online 
sources. At the end of this course, you should be better able to communicate 
orally and write appropriate reports and term papers for an academic 
community, a policy community, and also for the general public. Please work 
effectively as a contributing member of class and exercise leadership skills 
for any given tasks you may have during the semester."
생물전달현상 ,"Transport of momentum, energy and mass is essential for living organisms to 
sustain their lives. Investigating how the living organisms accomplish 
sophisticated ways of biological transport requires good understanding of 
transport phenomena including fluid mechanics, heat transfer, and mass 
transfer. Moreover, concepts and principles to be delivered in the course are 
prerequisites for bioengineers to design and operate downstream bioprocesses. 
This course is intended to provide students with fundamental principles in 
transport phenomena and relevant topics in biological systems."
생화학(2) ,"How do cells produce and process the biomolecules that are essential for their 
function?  Networks of chemical reactions are employed by all living things to 
convert substances obtained from the environment into the biomolecules needed 
for growth, reproduction, and normal cellular function.  Topics covered in 
this course include the metabolism of carbohydrates, lipids, amino acids, and 
nucleotides.  Each of these metabolic pathways requires the coordination and 
regulation of multiple enzymatic steps.  The importance of these pathways can 
be appreciated when one considers the processes that depend upon them.  These 
processes include, but are not limited to, the transmission of genetic 
material, cell division, energy production, and the biogenesis and maintenance 
of cellular membranes."
PUBLIC POLICY AND ADMINISTRATION ,"This course is designed to provide the student with basic knowledge of public 
policy and administration by focusing on policy issues in Korea in the United 
States. First, we will begin by dealing with some theoretical approaches that 
can help us understand policymaking process. Second, we will examine political 
institutions and procedures through which individuals or interest groups seek 
to achieve policy goals. Third, we will cover specific policy issues such as 
education, health care and social security. I hope that by the end of course 
students will be able to analyze policy issues as well as to develop policy 
expertise in various areas."
NORTH KOREAN FOREIGN POLICY ,"The Kim Jong-un regime in North Korea triggered world wide concerns not only 
for South Korea but also surrounding countries of the Korean peninsula. It is 
a transcient period of a country that possesses nuclear weapons.  North Korea 
has successfully confronted the United States for more than twenty years and 
it conducted nuclear tests in spite of repeated warnings from the George W. 
Bush administration and China. And now, they seemed to be successful to 
realize unprecedented three-generation succession from Kim Il Sung to Kim Jong-
il and then to Kim Jong-un. This course is designed to illuminate what is the 
source of North Korea`s provocative diplomacy vis-a-vis the United States, 
what are their logics and how to solve the nuclear issue."
HUMAN RIGHTS AND CONFLICT RESOLUTION ,"The aim of this course is to acquaint you with the relationship between human 
rights and conflict resolution in international relations, through a focus on 
both theoretical considerations and comparative empirical examples from a range 
of geographic contexts. At the core of the course is the presentation of key 
concepts relevant to understanding and analyzing critically the politics of 
norms, human rights, justice, conflict and peace. 
The first half of the course covers these concepts in relation to different 
types of conflict and methods of conflict resolution, drawing on relevant 
theory and scholarly debate to encourage you to develop an awareness of the 
diversity of opinion in the field and the options available in thinking about 
peace-building. The emphasis in this section is on describing and challenging 
you to think about the tension which often arises between defining, 
institutionalizing and defending human rights, and processes of conflict 
resolution – often summed up as an incompatibility between justice and peace in 
the execution of transitional justice to address the legacies of human rights 
abuses. 
The second part of the course takes a comparative perspective, exploring the 
course themes in more detail in a range of empirical contexts, including South 
Africa, Rwanda, Timor Leste, the former Yugoslavia as well as the Korean 
peninsula."
