Position,Job_Details
"
                Wind Project Developer","Your ResponsibilitiesDue to our dynamic growth, we are expanding our team in Seoul and are currently looking for a Wind Project Developer: General/MarketMaintain an up to date database of renewable energy policy in South Korea;Attend industry events and raise BayWa brand awareness in the market;Participate in team and company meetings, discussions and workshops and contribute to the regional wind team, providing support where required;
 Green fielding / site searchingSupport with potential new site identification and selection;Identification of suitable land for wind energy development, maintaining an up to date Geographical Information System (GIS) database for South Korea;Utalising GIS to score and rank high potential sites, carry out the desktop analysis to further qualify the potential and carry out site visits to confirm desktop assumptions;Record and report findings of site finding activities;Identify and follow up on other potential routes to identify developable new opportunities;
OriginationIdentification of proposed wind/solar projects and potential developer partnerships in South Korea;Managing relationships with project stakeholders and following up as required, understanding potential partner requirements and drafting/agreeing key terms of partnership agreements;Monitoring key economic drivers for each opportunity, managing internal resources to prepare and submit offers;Site visits to confirm commercial points and technical assumptions and gather data;
 Project ManagementIdentifying and securing land suitable for wind farm development, monitoring project risk;Sourcing suitable inputs for the financial modelling to assess and appraise investment opportunities;Support due diligence of new opportunities, both external and internal, to support project investment and acquisition activities. Managing third party contractors and consultants;Ensuring project compliance with local regulations and company policy;Reporting progress to management and tracking key risks/issues. Maintaining a project technical execution plan.
Your QualificationsThird level degree, ideally either in environmental and/or forestry management, town planning, geography or a similar field;At least 2-3 years work experience in industry;An understanding of the renewable energy sector in South Korea;Good relationship management skills, able to easily adapt to a multi-cultural environment and collaborate with international colleagues;Fluent in both Korean and English;Flexible in approach and time, willing to travel when required and work out of hours when necessary (position is based in BayWa’s Seoul office, but travel is required).
Your BenefitsAnnual salary range KRW 35,000,000 – KRW 60,000,000 depending on experience and abilitiesPerformance bonusVacations
We look forward to your application! If you have any questions about the job offer, please get in contact with us.Specialist (HR)Ms. Sirinan Teppaitoon+66-2-020-5756
 

 

          직급
        

          대리
        




          업계
        


              재생·친환경
            




        고용형태
      

        풀타임
      





          직종
        


              사업개발"
"
                Chief of Staff","The Chief of Staff will work closely with the CEO and the position has elements of both a COO and an executive assistant. As an extension to the CEO, you will have to understand what made the company successful, why its values are important, what worked in the past but won't work going forward, etc. better than anyone else at the company.

Once you understand what makes Miso tick, you will aid the CEO in ensuring the leadership team works well together, that there is purpose and alignment amongst the leadership team and company as a whole and nurture company culture.

At the same time, you will have the authority to be an effective substitute for the CEO with unbridled exposure to tactical and strategic decision-making processes. You will also amplify and improve the CEO's communication through presentations, calls and other methods.

What you will do

  Work with the CEO on strategy and execution of that strategy.
  Increase the effectiveness of the executive team. Ensure the executive team is fully aligned and executing on key initiatives for the company.
  Amplify and improve the CEO's communication.
  Act as a stand in for the CEO. 
What you need

  ""Do whatever it takes mentality"" as tasks will range from high level to basic.
  Strengths in areas the CEO has weaknesses. Operational/analytical experience gained in consulting, investment banking, a major plus.
  Strong ability to communicate with the CEO and other executives at the company.
 Data driven decision making mentality and sound business judgment through strong analytical thinking.
 

[보상 및 혜택]

 정직원 Stock Option 보상 홈클리닝 서비스 제공 4대보험 가입 및 퇴직금 별도 

[업무환경]

 Business 조직과 Product 조직이 Alignment가 잘 맞는 조직문화 노트북 및 듀얼 모니터 제공 휴게공간 라운지 이용 24/7 주 1회 조식 제공 및 간식, 커피 무제한 

[지원방법 및 절차]

 서류 : 영문 이력서  절차 : 서류 검토 - 면접전형(최대 3회, CEO 면접 포함) - 레퍼런스 체크- 최종합격 

[근무기간 및 장소]

 근무형태 : 임원직 근무시간: 주 5일 근무지역 : 서울 서초구 (강남역 부근) 급여 : 면접 후 결정 

[기타 유의사항]

입사지원 서류에 허위사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다.
 

 

          직급
        

          이사
        




          업계
        


              컴퓨터 소프트웨어
            

              인터넷
            

              금융 서비스
            




        고용형태
      

        풀타임
      





          직종
        


              기타"
"
                [Surgical Vision] Sales Manager","Job Description

Johnson & Johnson is the world's most comprehensive and broadly based healthcare Company, touching the lives of nearly a billion people every day. Our Family of Companies throughout the world compete in consumer, pharmaceutical, and medical devices and diagnostics markets and have the skills and resources to tackle the world's most pressing health issues.
 계열사: Surgical Vision (안과사업부) 포지션: Sales Manager 근무지: 서울시 용산구 근무형태: 정규직 (Regular)
[Responsibilities]
 Manages sales team on the assigned account. Provides leadership, guidance and customer product expertise to the sales team. Meets or exceeds established sales benefits through the implementation of sales activities. Understands, communicates, work cross functionally with relevant accounts & customers to develop adequate sales plan. Ensures sales activities are in compliance with all national and company regulations, policies and procedures. Understands market data to establish the most efficient promotion within the budget. Works closely with country manager and relevant functions to implement annual/quarterly sales plan and necessary changes required to achieve objectives. Collects and utilizes all necessary marketing information. Provides account support and administration to increase company products presence with accounts. Manages sales team with questions and supports customers requiring additional assistance. Communicates marketplace trends and changes taking place and makes recommendations about future courses of action necessary. Reviews market analyses to determine customer needs and volume potential. Tracks sales staff performance against quota. Establish performance improvement plans when necessary.
[Requirements]
 Bachelor’s degrees or above. Minimum 10 years experience in health care business are preferred Understanding of sales & business planning & relevant account Good inter-personal relationship Proactive, positive & innovative mind Proven people management skills Strong analytical, problem solving and project management skills Good communication & negotiation skills Excellent English communication (Writing & Oral) ability MS Office skill s (Word, PPT, Excel) proficiency
[지원 방법]
www.careers.jnj.com 접속 -> Position Number 2005869602W 검색 -> 해당 모집 공고의 “Apply Now” 클릭 후 온라인 지원 프로세스 진행

[제출 서류]
영문 자유 양식의 이력서/자기소개서

[서류 마감일]
채용시 마감

[For more Johnson & Johnson]
 J&J Korea Facebook: https://www.facebook.com/JNJCareersKorea/ J&J Linkedin: https://www.linkedin.com/company/johnson-&-johnson/ J&J Corporate Page: http://www.jobkorea.co.kr/Company/1605233/Info
“좋아요” & “팔로우” - 존슨앤드존슨 오픈 포지션 및 다양한 소식들을 페이스북, 링크드인 페이지 통해 만나 보시기 바랍니다.

[유의사항]
 서류를 MS-Word 나 PDF 로 된 한 개의 파일로 미리 준비하시기 바랍니다. 서류 전형 합격자에 한하여 개별 통보합니다. 단, 회사 사정에 따라 지연될 수 있습니다. 모집 분야 관련하여 자세한 내용은 J&J 홈페이지에서 확인하시기 바랍니다.
www.careers.jnj.com

 

 

          직급
        

          해당 없음
        




          업계
        


              병원·의료
            

              의료기기
            

              제약
            




        고용형태
      

        풀타임
      





          직종
        


              영업"
"
                Business Management 특별 채용","게시자:
  








            Jaylyn Jinrae Lee
              
                2촌
              


            Sr. Recruiter at Coupang
          
 







        InMail 보내기






쿠팡은 세계에서 가장 빠르고 크게 성장하는 Ecommerce 기업 입니다. 우리는 고객, 직원, 파트너 그리고 우리를 둘러싼 모든 사람들의 일상을 어떻게 혁신 할 수 있을 지 매 순간 고민합니다. 우리는 아직 아무도 풀지 못한 문제를 해결함으로써 사람들이 이렇게 묻는 세상을 만들고자 합니다. “쿠팡 없이 어떻게 살았을까?” 쿠팡은 서울뿐만 아니라 베이징, LA, 시애틀, 상하이와 실리콘밸리 등에 오피스를 두고 있는 글로벌 기업입니다.  [Coupang Business Management 특별 채용]쿠팡 Business Management 특별채용은 다양한 업계의 인재를 쿠팡의 핵심 성장 동력인 Retail Brand Manager로 채용하는 전형입니다.국내 최고의 이커머스 쿠팡에서 리테일 사업의 A부터 Z까지 배우고 싶으신 분,관련 경력이 없으셔서 지원을 망설이셨던 분,커리어의 새로운 도전을 하고 싶으신 분,세상의 변화를 쿠팡과 함께 이끌고 싶은 열정 넘치는 분들을 쿠팡의 Business Management 특별 채용으로 초대합니다.  
쿠팡의 리테일 비즈니스 소개쿠팡의 로켓 배송 사업을 책임지고 있는 리테일 조직은 회사 성장의 중심이며, 고객신뢰의 원천입니다. 쿠팡 리테일은 유아 카테고리를 시작으로 2014년 초에 자그마하게 시작했습니다. 그리고 5년도 되기 전에 한국에서 가장 많은 셀렉션을 가지고 있는, 세계에서 가장 빠르게 성장하는 이커머스 기업이 되었습니다. 쿠팡 리테일은 소비재, 가전, 미디어, 뷰티, 패션, 신선식품 그리고 프라이빗 레이블까지 계속해서 사업을 확장하고 있습니다.우리는 첨단 IT기술을 바탕으로 대규모의 판매, 재고, 그리고 마케팅과 머천다이징을 포함한 이커머스 사업 전략의 주요 측면에 대한 가이드를 제공합니다. 우리는 고객 중심의 시각과 데이터 중심의 의사결정 그리고 혁신적인 사고로 발전하고 있습니다.우리의 미션은 고객이 “쿠팡없이 어떻게 살았을까?” 라는 질문을 하는 세상을 만드는 것입니다. 우리는 고객의 쇼핑 경험을 향상시킬 수 있는 열정적인 분들을 찾습니다. [자격 요건] 이커머스에 대해 배우고자 하는 자세와 열정이 있는 분변화에 대해 두려움이 없고, 도전할 수 있는 분최소 직장 경력 10년 이상으로, 리테일 비즈니스에 관심이 있으신 분다른 산업과 카테고리에서의 경력으로 쿠팡에 새로운 Insight를 제공해주실 수 있는 분목표(성장과 혁신)에 대해 비전을 제시하며 실행할 수 있는 분끝까지 포기하지 않고 최고의 결과를 만들어내고자 하는 분 
[쿠팡 BM 인터뷰 동영상] https://youtu.be/d9DMI_YoqUkhttps://www.youtube.com/watch?v=XtccSoZGAiE&t=2s 'Brand Management' 란?고객의 이커머스 구매 여정에서 최상의 고객 만족을 이끌어 내기 위한 리더의 역할을 수행합니다.
업무 내용:Strategy: 로켓배송 카테고리의 목표 매출 및 이익율을 달성하기 위한 전략 수립 및 실행Negotiation: 신규 협력 업체를 발굴하며, 해당 업체들과 지속적인 협상을 통한 이익 창출Partnership: 주요 협력 업체들과 전략적인 파트너쉽을 유지하기 위하여 마케팅과 관련된 협의 등을 논의Analysis: 주별, 월별, 분기별 카테고리 리뷰를 통해 목표 대비 달성율 점검 및 분석

[전형 절차 및 기타사항]1. 전형절차: 서류전형 - 전화면접 - 대면면접 - 최종합격(전형절차는 직무 별로 다르게 운영될 수 있으며, 일정 및 상황에 따라 변동될 수 있습니다.)
2. 기타사항:a. 본 공고는 모집 완료 시 조기마감 될 수 있습니다.b. 지원서 내용 중 허위사실이 있는 경우에는 합격이 취소될 수 있습니다.c. 보훈대상자 및 장애인 여부는 채용과정에서 어떠한 불이익도 미치지 않습니다.d. 전형일정 및 결과는 지원서에 등록하신 이메일로 개별 안내 드립니다.
 

 

          직급
        

          과장·부장
        




          업계
        


              인터넷
            




        고용형태
      

        풀타임
      





          직종
        


              마케팅
            

              전략·기획
            

              영업"
"
                Account Development Specialist","ABOUT WORKING AT AGODA:        Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.   The Opportunity: As a Partner Development Specialist your key objective is growing the coverage and quality of Agoda’s supply network. You take care of a large portfolio of emerging high growth supply partners and assist in partnership related functions at scale. In this role, you’ll get to: 
Contact high growth supply partners to highlight revenue growth opportunities and maximize valueContact new or potential supply partners to encourage completion of their online registrationsEncourage program participation through focused project sprintsCommunicate efficiently with partners through various communication methods including phone, email, messaging and webinarsTrain and inform partners on our technologies, tools and modelsPrioritize daily tasks, monitor results and track progress in internal systems
What you’ll need to succeed:
Bachelor or equivalent degree preferredMinimum 2 years experience working in operational or execution role preferred although fresh graduates welcome to applyBasic computer and analysis skillsAnalytical and proven track record in using data to drive achievements and make decisionsIntellectual curiosityAutonomous and result driven (history of achieving ambitious targets)Ability to work under pressure in a competitive industry/rapidly changing environmentAbility to work in a highly dynamic environment and is open to change in responsibilities, workflows, as needed by the business.Able to support South Korea markets and following the business hours & public holidays in South KoreaFluency in English & in Korean
Equal Opportunity Employer 
Agoda prides ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics. 
To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes. 
By applying to this job, you agree that Agoda may process your personal data in accordance with Agoda applicants privacy statement. 
 

 

          직급
        

          대리
        




          업계
        


              인터넷
            




        고용형태
      

        풀타임
      





          직종
        


              영업
            

              사업개발"
"
                Project Manager - Seoul","Main Activities

 Set up the project. Developing the project plan, the project schedules, the tool environment, the project cost and quality plan.
 Be the first point of contact for the customer on product, planning and technical topics
 Facilitate communication with customer and system supplier (arrange meetings, aggregate meeting material, ensure participation of key stakeholders, report meeting minutes, window for all technical questions)
 Monitor and track deliverables from local suppliers
 Highlight customer relevant risks within the overall project scope
 Take ownership of specific project related tasks where applicable and when agreed with team
 Strengthen customer intimacy
 Develop a thorough understanding of the market requirements, the customer, the business and development aspects
 Manage project financials (costing, spending against allocated budget)
 Be the first point of contact for internal project reporting and updates as required
 Ensure alignment of internal stakeholders in different project milestones.
 Work closely with quality team to ensure highest level of quality is maintained.

Skills And Knowledge

 Successfully completed your engineering or computer science degree
 You have at least five years’ experience in Project Management roles
 Good understanding of agile software development practices and processes
 Proficiency in project management practices
 Good understanding of Mapping and Navigation technologies is a plus
 Experience in the automotive industry is a plus
 Experience working with multinational, cross cultural, cross-functional teams
 Willingness to travel and willingness to provide on-site support in customer’s office
 Fluent in English & Korean is a must. Japanese and / or Chinese language will be considered a strong plus.
 Highly experienced / competent with Project Management Tools, Office Tools
 Natural networker and influencer.
 Autonomous
 Doer
 Commercial acumen

 Outstanding communication skills
 Comfortable to operate in ambiguity
 Comfortable to operate within tight deadlines
 Has an eye for detail
 

 

          직급
        

          신입
        





        고용형태
      

        풀타임
      





          직종
        


              프로젝트 관리
            

              IT"
"
                Supply Chain Coordinator","POSITION PURPOSE
 

Pursue outstanding warehousing services and order distribution to retail network & wholesale customersManage the relationships and performance of logistics and warehouse providers as well as oversee inventory management and control processes within the warehouses and Head Office.Prepare inventory forecasting, monitor stock turnovers and KPIAESOP CAPABILITIES
 
 This role is at the Self level. The critical Aesop Capabilities for this role are:

Decisions & directions
 

Analysing information and committing to a course of actionExecution
 

Taking accountability for achieving goals, and tenaciously completing work of consistent excellence.Client Focus
 

Ensuring internal and external client needs are considered when making decisions.MAIN RESPONSIBILITIES
 
Local distribution and fulfillment
 

Consolidate orders from various channels and ensure all being properly relayed by 3PL for fulfillmentCommunicate customer specific delivery requirement and monitor outbound order fulfillment statusProvide supply risk guidance for the aid of allocation decision across various sales channel/ storesCollaborate with 3PL to ensure all outbound shipment are properly handled and delivered according to pre-defined delivery windowCoordinate internally for accurate shipping document preparation in timely mannerDrive the inventory/non-inventory distribution request for ad hoc eventsMarket supply and inventory management
 

Review and confirm demand forecast/ schedule demand of trade items, samples and consumables aligning to market expectationEnsure all product lifecycle (phased in phased out) and promotional events being factored into the demand plan/stock strategyWork closely with commercial teams to define replenishment plan for new stores, counters or new accounts, etcReview the DRP proposed replenishment plan and propose adjustment or trigger shipment expedition request based on latest market supply statusTrack the status of goods in transit as required, and follow up with freight provider for any delayProvide overlabelling instruction to warehouse based on regulatory requirementReconcile biannual stock take results and work with warehouse to address the identified variationLead the monthly inventory reconciliation between warehouse WMS and ERP systemNon-inventory/ asset registration and management3PL management
 

Provide leadership to appointed 3PL to ensure outstanding warehousing and distribution services supportedLead the monthly operation review meeting with 3PL and identify room for improvementLiase with 3PL for quotation on ad hoc business needAudit all transport and warehouse invoices for management approvalTrack warehouse expenditure against budget.Continuous Improvement
 

Generate & analyse operational reports and drive continuous improvementDevelop successful business partnership to keep informed of market specific information.Required Skills and Experience
 

Bachelor degree in one or more of the following: Supply Chain Management, Logistics Planning, or equivalent experienceMin 2-3 years of experience in supply chain and logistics functions from multi-national companyExperience in retail and e-commerce business would be an advantageAbility to build effective and influential relationships in a cross-functional and international team environmentProven track record as a collaborative partner with exceptional customer service, both internally and externallyExcellent interpersonal & organizational skillsProactive and methodical approach to workStrong analytical skills, should have the ability to evaluate, analyse and present dataExperience with NetSuite (or similar ERP) an advantage
 

 

          직급
        

          신입
        




          업계
        


              소비재
            

              화장품
            

              명품·귀금속
            




        고용형태
      

        풀타임
      





          직종
        


              물류·공급망"
"
                [토스증권팀] Product Owner","게시자:
  








            Hayoung Park
              
                2촌
              


            Viva Republica (Toss) Recruiting Manager
          
 







        InMail 보내기






토스증권팀 소개토스증권팀은 대한민국 투자 시장을 바꾸는 새로운 모바일 증권사를 만드는 것을 목표로 합니다. 1,700만 토스 사용자를 기반으로 누구나 편리하고 안전한 환경에서 건전한 투자를 할 수 있는 기회를 제공함으로써, 정체된 시장의 변화를 이끌어 새로운 활력을 불어넣고자 합니다. 기존 모바일 주식거래에서 투자자들이 불편을 느꼈던 고객 경험을 획기적으로 바꿔 완전히 새로운 투자 경험을 제공 할 것입니다.투자 시장에 새로운 변화를 함께 할 동료를 기다립니다.
팀에 합류하시면 이런 업무를 함께 합니다담당 제품과 관련한 모든 사안에 대해 최종 의사결정 권한을 가지고, 개발, 디자인, 마케팅 등 전반에 걸쳐 제품을 주도하는 역할을 합니다.시장의 비효율, 고객의 pain point, 잠재적 사업 기회 등을 파악하여 풀어낼만한 가치가 있는 문제 또는 사업 영역을 정의하고, 실행의 우선순위를 결정합니다.유효한 가설을 수립하고, 실험을 통해 도출된 data insight를 기반으로 가설을 검증하며, 끊임없는 iteration을 통해 product-market fit을 찾고, 제품을 고도화합니다.
이런 경험을 가진 분을 찾습니다3년 이상 모바일 제품에 대한 개발, 디자인 또는 PM을 해 본 경험 또는 3년 이상의 IB, 전략컨설팅 경험이 필요합니다.데이터 기반으로 다양하고 복잡한 문제를 해결하는 Analytic Mindset이 필요합니다.궁극의 고객 경험을 달성하고, 시장을 혁신하는 제품을 발굴할 수 있는 역량이 필요합니다.실패를 두려워하지 않고, 어떻게든 성과를 만들어내는 Grit이 필요합니다.스스로 목표와 전략을 설정하고, 논리적인 커뮤니케이션을 통한 협업이 가능해야 합니다.
이런 경험이 있다면 더 좋습니다한정된 자원과 시간 속에서 최고의 성과를 만들어내는 Lean Startup 및 Agile 조직 경험이 있으신 분이면 좋습니다.사업/제품 기획부터 조직 운영까지 스타트업의 A to Z를 다뤄보신 창업 경험이 있으시면 좋습니다.다양한 기술과 산업의 특성을 파악하여 최적화된 솔루션을 도출하는 역량이 뛰어난 산업공학 관련 학위 소지자 또는 소프트웨어에 대한 이해도가 높은 컴퓨터공학 관련 학위 소지자를 선호합니다.토스증권팀으로의 합류 여정서류 접수 > 직무 인터뷰 > 문화적합성 인터뷰 > 최종 합격
동료의 한마디토스증권팀의 Product Owner는 작은 스타트업의 CEO처럼 팀과 함께 제품을 성장시키는 역할을 담당하게 됩니다. 뿐만 아니라 증권의 특성상 모바일에서 다룰 수 있는 복잡도가 높은 서비스를 다루고 규제의 컴플라이언스 및 원장 개발팀과도 함께 일해볼 수 있어요.어려운 문제를 해결해 나가고, 함께 대한민국 투자의 판도를 바꿔나가실 Product Owner 분을 기다립니다.
 

 

          직급
        

          과장·부장
        




          업계
        


              금융 서비스
            

              IT
            

              보안
            




        고용형태
      

        풀타임
      





          직종
        


              컨설팅
            

              제품관리
            

              프로젝트 관리"
"
                [의료기기/사업기획] Senior Business Development Manager","An international healthcare company is searching for a Senior Business Development. In this position, you will be responsible for identifying new business opportunities through current and potential client communication.

Responsibilities
 Communicate with potential clients to coordinate meetings Develop new marketing campaigns Boost current customer value Take part in industry events Develop proposals and quotes for clients Handle customer questions 

Requirements
 Bachelor’s degree or above in business, marketing, or related discipline Sales, marketing, or related experience Computer proficiency Fluent level English and Korean 

About The Company

Headquartered in Korea, this company produces health and wellness products and aims to bring innovation to the field of diagnostic technology.

1398600/001
 

 

          직급
        

          과장·부장
        




          업계
        


              전기전자
            

              소비재
            

              금융 서비스
            




        고용형태
      

        풀타임
      





          직종
        


              사업개발
            

              사업개발"
"
                Account Executive - Seoul","About The Role

WeWork is seeking an Account Executive to help lead its sales efforts in the Korea market. This full-time position sits within a team of successful Account Executives that report to a Regional Sales Manager. The successful candidate will be diligent with a proven track record in sales (SMB, Mid-market or Enterprise).

As an Account Executive, you will be responsible for prospecting, outreaching, and generating leads in your market. In addition, you will be responsible for pitching, touring, and closing sales in all WeWork locations across your cluster. Additionally, the self-driven and self-motivated candidate will be responsible for collaborating with our global Enterprise Sales team to increase enterprise membership within Regional Account Executive ROE in their market.

Responsibilities
Exceed monthly, quarterly, and annual quotasFrom lead generation and prospecting, to pipeline management, closing and onboarding,Cultivating and maintaining midsize and large business relationshipsPartner with New Member Development and Community teams to ensure successful placement and follow up of new membersAlign product, operations, and real estate resources to support the businessUtilizing innovative and creative sales tactics to maintain building occupancy and margins within allocated clusterTouring and demonstrating WeWork locations and business solutions with potential members

Qualifications
College/University graduate with a 4-year degree preferredExcellent written/verbal communication and presentation skills in English is a mustBetween 2-5 years of sales experience as a minCommercial real estate sales or B2B solution sales experience a plusBusiness development experience a plusExperience with Salesforce a plusTeam player, with a “no job too big, no job too small” mindsetAmbitious goal getter who is willing to go the extra mile to over achieveAble to establish and nurture C-level relationships and penetrate new marketsHighly organized, detail orientated and have a problem-solving attitudeStrong work ethic and entrepreneurial spirit with the competence to wear multiple hats and the ability to operate independently
 

 

          직급
        

          과장·부장
        




          업계
        


              IT
            

              부동산
            

              금융 서비스
            




        고용형태
      

        풀타임
      





          직종
        


              영업
            

              사업개발
            

              컨설팅"
